galaxies.source.pixelization.regularization.signal_scale,galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,    log_likelihood,         log_prior,     log_posterior,                weight
                                     0.03586742182549735,                                        0.0005462700438500957,                                            41.58664444415445,   7494.2640044763, 1830.620490665303, 9324.884495141603, 0.0004863296864897896
                                    0.021849663568242222,                                        0.0028445603672890445,                                            75.37388698819088, 7496.178394167857, 351.5614401560457, 7847.739834323903, 0.0032986759930949917
                                     0.03299593612571156,                                        0.0039384687790323895,                                            45.44902917993253, 7495.125282735655,253.92778588315866, 7749.053068618813, 0.0011507452103969437
                                     0.01865296068208079,                                         0.009634788558218588,                                            76.33053698255108, 7495.920235073096,103.80365054387846, 7599.723885616974,  0.002548135917205849
                                    0.025902662940808823,                                        0.0009863058353058042,                                             55.6917821935382, 7495.337907665249,1013.9022545359471, 8509.240162201197, 0.0014233804928068387
                                     0.03760919639541827,                                       0.00011579104018250431,                                            40.39991190870415, 7494.686079585804, 8636.271550414856, 16130.95763000066, 0.0007417126252784392
                                     0.03426937892455428,                                        0.0011377050562939646,                                            47.22295226571511, 7495.183923609729, 878.9836053491294, 8374.167528958858, 0.0012202437277337894
                                     0.03318999637839601,                                        0.0021828557514221906,                                            45.54879343571001, 7495.669394550727, 458.1374297444107, 7953.806824295138,  0.001982822940051103
                                    0.026501796563671586,                                         0.021422233303014678,                                            58.32442330311048, 7495.192958932779, 46.69761925551435, 7541.890578188293, 0.0012313189829217946
                                    0.025407131718992473,                                          0.01002057047627997,                                            63.63304968347683, 7495.671963050188, 99.81043261715351, 7595.482395667342,  0.001987922365837839
                                    0.026269089426533762,                                        0.0063706778252327016,                                            62.54193405354669,7494.9313183228705,156.98515761382924,7651.9164759366995, 0.0009478541192315152
                                     0.03092637500065192,                                        0.0002734351222869284,                                            49.20762449764856,  7496.91062916708, 3657.194980657807,11154.105609824886, 0.0010331642074240706
                                     0.02816932352634242,                                        0.0001414531532061628,                                            54.72063820705413, 7498.010816538476, 7069.496595442295,14567.507411980772, 0.0031043784263316914
                                     0.02536193353611903,                                        0.0006838590502012181,                                           58.087885631460786, 7497.222628226726,1462.3068489625457, 8959.529477189271,  0.001411460803369099
                                    0.024659327624672548,                                         0.008420596365896187,                                           62.224793558547326, 7497.756712857208,118.77250517211453, 7616.529218029323, 0.0024077912399641807
                                    0.025598362916243504,                                         0.006904667827286336,                                            58.55862469299006, 7497.190107127455,144.84663641542022, 7642.036743542875, 0.0013662969165458329
                                     0.02716296702093901,                                       0.00015721723757790738,                                           60.071988429816415, 7496.399998085876, 6360.642335110869,13857.042333196745, 0.0006200191328332697
                                     0.02892042198853184,                                        0.0003077122438426039,                                           52.485473340645235, 7497.471869949389, 3249.808490946278,10747.280360895667, 0.0018109778019858248
                                     0.02266637256192866,                                       0.00038581891216251746,                                            71.27625374037925,7497.9868215877505,2591.9035627431767,10089.890384330927, 0.0030307755984865827
                                    0.020356235115380435,                                        0.0014836742418476152,                                            79.89644928951644, 7497.784810373921, 674.0149163197482, 8171.799726693669, 0.0024764035991303225
                                    0.022936497656722434,                                         0.006052589650514592,                                            70.34124589845682,7497.0286264988945,165.23275223386875, 7662.261378732764, 0.0011625588385531067
                                    0.029391914288308972,                                        0.0001279519894919071,                                           53.302641348067624, 7497.617269907401, 7815.450189185757, 15313.06745909316,  0.002094399504341518
                                    0.020859708636072165,                                         0.004138125489375386,                                            69.57842402685483, 7497.378111614447,241.66968276593894, 7739.047794380386, 0.0016489003093925834
                                    0.025113356637693464,                                        0.0007036020932015704,                                            64.98935485252726, 7496.704458535534,1421.2732396379615, 8917.977698173496, 0.0008406797465101276
                                     0.02116094182094471,                                        0.0012718767359635255,                                              76.817105157487, 7497.702607322086, 786.2527310476729, 8283.955338369758, 0.0022809779905018455
                                    0.027043817389326482,                                        0.0037335648242142016,                                            55.49882921346096, 7497.205370180967, 267.8585534048936, 7765.063923585861, 0.0013873107390974743
