galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.pixelization.regularization.signal_scale,galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,    log_likelihood,         log_prior,     log_posterior,                weight
                      0.3122454031925773,                     0.10845462304570835,                0.8723763004676027,       0.016336225532396952,         0.0974976889489453,                                     0.03743502909303349,                                          0.00886092687538879,                                            42.17199492504366,             -0.019166456156768246,               0.05512911497980721, 7472.015430958084, 115.1972899648008, 7587.212720922885, 2.592452713451455e-10
                     0.31255981297767527,                     0.11169714127053644,                0.8729485764528919,       0.018417849995422158,          0.097284365032598,                                    0.032568282740139946,                                       0.00014186574958373815,                                           47.245593195213544,              -0.01890052384224404,               0.05350392260281657, 7483.082657117084,7051.2015320299915,14534.284189147074, 1.660145277716966e-05
                      0.3114296139756493,                     0.10847098673673745,                0.8717364381941177,       0.016223526537924846,        0.09760306821295839,                                    0.030261971325173883,                                       0.00021919237710116092,                                           48.998436405977884,             -0.018973212272442575,               0.05685917398167028, 7486.338337318934, 4564.578413181145,12050.916750500079,0.00043059604932757007
                      0.3115608889281658,                     0.11192111580259599,                0.8731126439321981,       0.018684066966031802,        0.09609065767265626,                                     0.02928885487460163,                                         0.001991124525407798,                                            52.80999647321323,             -0.019095128100097652,              0.052767234596076455, 7485.950139705545, 504.5708463650925, 7990.520986070637, 0.0002920639533738997
                      0.3077298343588274,                     0.10832393708474604,                0.8701120987315093,       0.017070683897801323,        0.09550988618219214,                                    0.033464601602136185,                                         0.000949167541090787,                                            44.23959857155503,             -0.017447746001748688,              0.058002440376680675,  7476.57630382285,1056.0885338618289, 8532.664837684679,  2.48012038164366e-08
                      0.3146200886608063,                     0.11223175444706113,                0.8742214798402036,       0.018357366099017388,        0.09790966851991512,                                    0.024383013133196404,                                        0.0037952680518557966,                                           59.237453070866756,              -0.02026957916288954,               0.05210740186351203, 7486.352370984546, 265.6953361133989, 7752.047707097945, 0.0004366814909503885
                      0.3128271760772186,                     0.11127718171648325,                0.8728459122836509,       0.018477678330063387,        0.09762409613809256,                                     0.02209072264362716,                                        0.0005140319959595723,                                            63.76714569016831,             -0.018693827946614602,               0.05412083713750126, 7478.152086035108,1947.6721089856915,   9425.8241950208, 8.986512598084628e-08
                        0.30976379110177,                     0.10799058028997839,                0.8714164211734317,       0.015632153143683176,        0.09640717173996541,                                     0.03152806723362441,                                        0.0003527986696999108,                                            47.33642995627018,             -0.019205966251879064,               0.05700976535700804, 7476.179823689266, 2836.949333310331,10313.129156999597,1.2503987585183452e-08
                     0.31438707939475846,                     0.11227882642605275,                 0.873919527481562,       0.018725158630091207,        0.09802532888428672,                                    0.022686009256174894,                                        0.0021702557233117606,                                            61.99109362623184,             -0.019325780983451002,              0.052267786276502796, 7481.580068559157, 462.9696520720294, 7944.549720631186,2.7691410757545445e-06
                      0.3107422105698385,                     0.11011366651086982,                0.8723865931700341,        0.01721917209113945,        0.09608448390444903,                                    0.022412220919616914,                                        0.0011007277993843065,                                            62.57438150956245,             -0.019001340279910118,               0.05453586364314761, 7474.663297439653, 910.8919951386538, 8385.555292578307,2.7442871493086132e-09
